SMD 1/4W 4,7K;250
X7R-G1206 1,0/50;450
MKS-2-5 220N;100
RAD 470/35;300
AKL 059-02;100
L-07HCP 330µ;50
LED 3MM GN;50
L-09HCP 47µ;100
GF 63;3
